Date,Ticker,Asset,Open,High,Low,Close,Adj_Close,Volume,Dividends,Stock_Splits,Log_Return,Squared_Return,Target_Date,Target_Squared_Return,Role,Forecast_Horizon,Split
2010-06-30,JPM,JPMorgan Chase,37.02000045776367,37.4900016784668,36.5099983215332,36.61000061035156,24.079605102539062,35332500,0.0,0.0,-1.2217287986748973,1.4926212575116076,2010-07-01,1.746633737426886,Stock,1,Train
2010-07-01,JPM,JPMorgan Chase,36.540000915527344,36.689998626708984,35.15999984741211,36.08000183105469,23.76346206665039,56642900,0.05,0.0,-1.3216027154280845,1.746633737426886,2010-07-02,0.4834616828915868,Stock,1,Train
2010-07-02,JPM,JPMorgan Chase,36.310001373291016,36.689998626708984,35.34000015258789,35.83000183105469,23.598804473876953,36796000,0.0,0.0,-0.6953140893808976,0.4834616828915868,2010-07-06,1.9206488322589128,Stock,1,Train
2010-07-06,JPM,JPMorgan Chase,36.689998626708984,36.880001068115234,35.86000061035156,36.33000183105469,23.928131103515625,35953600,0.0,0.0,1.38587475345318,1.9206488322589128,2010-07-07,23.894472342849003,Stock,1,Train
2010-07-07,JPM,JPMorgan Chase,36.63999938964844,38.2400016784668,36.40999984741211,38.150001525878906,25.12684440612793,44602900,0.0,0.0,4.888197248766564,23.894472342849003,2010-07-08,0.0006852624940621,Stock,1,Train
2010-07-08,JPM,JPMorgan Chase,38.779998779296875,38.81999969482422,37.150001525878906,38.15999984741211,25.1334228515625,41498200,0.0,0.0,0.0261775188675729,0.0006852624940621,2010-07-09,3.211477072470785,Stock,1,Train
2010-07-09,JPM,JPMorgan Chase,37.75,38.88999938964844,37.68000030517578,38.849998474121094,25.587888717651367,30422300,0.0,0.0,1.7920594500380798,3.211477072470785,2010-07-12,0.7591599829295914,Stock,1,Train
2010-07-12,JPM,JPMorgan Chase,38.86000061035156,39.34000015258789,38.599998474121094,39.189998626708984,25.81180953979492,24998900,0.0,0.0,0.8712978726759244,0.7591599829295914,2010-07-13,10.48912391240311,Stock,1,Train
2010-07-13,JPM,JPMorgan Chase,39.810001373291016,40.689998626708984,39.7400016784668,40.47999954223633,26.66145896911621,48564800,0.0,0.0,3.238691697646306,10.48912391240311,2010-07-14,0.1035145215995129,Stock,1,Train
2010-07-14,JPM,JPMorgan Chase,40.150001525878906,40.380001068115234,39.84000015258789,40.349998474121094,26.575817108154297,37320600,0.0,0.0,-0.3217367271536046,0.1035145215995129,2010-07-15,0.0741461119200892,Stock,1,Train
2010-07-15,JPM,JPMorgan Chase,40.720001220703125,40.84000015258789,39.310001373291016,40.459999084472656,26.64828109741211,81876200,0.0,0.0,0.272297836789221,0.0741461119200892,2010-07-16,13.507212828018822,Stock,1,Train
2010-07-16,JPM,JPMorgan Chase,40.279998779296875,40.349998474121094,38.86000061035156,39.0,25.686677932739254,58507400,0.0,0.0,-3.675216024673764,13.507212828018822,2010-07-19,0.0105047684164019,Stock,1,Train
2010-07-19,JPM,JPMorgan Chase,39.029998779296875,39.36000061035156,38.119998931884766,39.040000915527344,25.7130184173584,35404900,0.0,0.0,0.1024927725081234,0.0105047684164019,2010-07-20,2.2499861421906027,Stock,1,Train
2010-07-20,JPM,JPMorgan Chase,38.31999969482422,39.63999938964844,38.279998779296875,39.630001068115234,26.101619720458984,43538200,0.0,0.0,1.4999953807230884,2.2499861421906027,2010-07-21,9.61520485097348,Stock,1,Train
2010-07-21,JPM,JPMorgan Chase,40.25,40.25,38.34000015258789,38.41999816894531,25.304670333862305,41115600,0.0,0.0,-3.1008393784544017,9.61520485097348,2010-07-22,5.720608652700994,Stock,1,Train
2010-07-22,JPM,JPMorgan Chase,38.959999084472656,39.599998474121094,38.72999954223633,39.349998474121094,25.917198181152344,35494400,0.0,0.0,2.3917793904750067,5.720608652700994,2010-07-23,1.4700627969271896,Stock,1,Train
2010-07-23,JPM,JPMorgan Chase,39.16999816894531,39.959999084472656,38.970001220703125,39.83000183105469,26.23334693908691,28241000,0.0,0.0,1.2124614620379444,1.4700627969271896,2010-07-26,1.556189870968616,Stock,1,Train
2010-07-26,JPM,JPMorgan Chase,39.79999923706055,40.36000061035156,39.5,40.33000183105469,26.562650680541992,27209400,0.0,0.0,1.247473394894102,1.556189870968616,2010-07-27,0.78978516367569,Stock,1,Train
2010-07-27,JPM,JPMorgan Chase,40.7400016784668,41.2400016784668,40.61000061035156,40.689998626708984,26.79976463317871,44872200,0.0,0.0,0.8886985786394,0.78978516367569,2010-07-28,0.8344752105505605,Stock,1,Train
2010-07-28,JPM,JPMorgan Chase,40.439998626708984,40.900001525878906,40.150001525878906,40.31999969482422,26.55606460571289,23945400,0.0,0.0,-0.9134961469817816,0.8344752105505605,2010-07-29,0.0746193728023138,Stock,1,Train
2010-07-29,JPM,JPMorgan Chase,40.709999084472656,40.83000183105469,39.90999984741211,40.209999084472656,26.48362159729004,28994300,0.0,0.0,-0.2731654678071769,0.0746193728023138,2010-07-30,0.0302434593462661,Stock,1,Train
2010-07-30,JPM,JPMorgan Chase,39.720001220703125,40.689998626708984,39.720001220703125,40.279998779296875,26.52971839904785,26406500,0.0,0.0,0.1739064672353107,0.0302434593462661,2010-08-02,11.026507597941478,Stock,1,Train
2010-08-02,JPM,JPMorgan Chase,40.97999954223633,41.70000076293945,40.72999954223633,41.63999938964844,27.425458908081055,35566700,0.0,0.0,3.3206185565254973,11.026507597941478,2010-08-03,1.8331373034822704,Stock,1,Train
2010-08-03,JPM,JPMorgan Chase,41.5,41.650001525878906,40.869998931884766,41.08000183105469,27.056638717651367,29967900,0.0,0.0,-1.3539340100175747,1.8331373034822704,2010-08-04,0.2599948616617691,Stock,1,Train
2010-08-04,JPM,JPMorgan Chase,41.220001220703125,41.400001525878906,40.86000061035156,41.290000915527344,27.1949520111084,23078100,0.0,0.0,0.5098969127792099,0.2599948616617691,2010-08-05,0.00235194572602,Stock,1,Train
2010-08-05,JPM,JPMorgan Chase,40.970001220703125,41.43000030517578,40.939998626708984,41.27000045776367,27.18176651000977,19830500,0.0,0.0,-0.0484968630533982,0.00235194572602,2010-08-06,4.127554463705849,Stock,1,Train
