Ticker,Asset,Role,N_Estimators,Max_Depth,Min_Samples_Leaf,Max_Features,Validation_RMSE,Validation_MAE,Validation_QLIKE
AAPL,Apple,Stock,500,10,1,0.5,6.663705100953671,3.590985723962919,2.106681482551999
JNJ,Johnson & Johnson,Stock,500,5,10,0.5,2.7199704517119145,1.3010664112763077,1.2391282837382824
JPM,JPMorgan Chase,Stock,500,5,10,0.5,5.357586648376203,2.851214039947407,1.9154552694071094
TSLA,Tesla,Stock,500,5,1,1.0,24.892158584928502,15.352643257171987,3.6994430510715666
WMT,Walmart,Stock,500,None,1,0.5,8.587188361962157,2.5127276026722254,1.5549523329504562
XOM,Exxon Mobil,Stock,500,5,1,0.5,6.625631848720109,3.8153440416070263,2.3392871160312216
^GSPC,S&P 500,Benchmark,500,5,10,0.5,2.7886633921235577,1.5380947681555308,1.3032813194093018
