Forecast_Generated_At,Ticker,Asset,Role,Latest_Data_Date,Latest_Adj_Close,Latest_Log_Return_Pct,Latest_Squared_Return,Deployment_Model_Training_Through,New_Observations_Since_Deployment,Model,Forecast_Horizon,Forecast_Variance,Forecast_Daily_Volatility_Pct,Forecast_Annualised_Volatility_Pct,Research_Test_QLIKE,Research_QLIKE_Winner,Research_Best_Model,Research_Best_QLIKE,Recent_Research_Overlap_Max_Abs_Return_Diff,Research_Overlap_Status
2026-08-27T18:20:45.077181-04:00,AAPL,Apple,Stock,2026-08-27,314.5799865722656,0.3598476463767719,0.1294903286029023,2026-08-25 00:00:00,2,GARCH,Next trading session,2.261722374434864,1.5039023819499937,23.873710192544134,2.0019045795495973,True,GARCH,2.0019045795495973,1.0635972120365269e-05,OK
2026-08-27T18:20:45.077181-04:00,AAPL,Apple,Stock,2026-08-27,314.5799865722656,0.3598476463767719,0.1294903286029023,2026-08-25 00:00:00,2,Historical Variance,Next trading session,4.135255551251596,2.0335327760455684,32.28133204989228,2.1626450534552206,False,GARCH,2.0019045795495973,1.0635972120365269e-05,OK
2026-08-27T18:20:45.077181-04:00,AAPL,Apple,Stock,2026-08-27,314.5799865722656,0.3598476463767719,0.1294903286029023,2026-08-25 00:00:00,2,LSTM,Next trading session,1.7070696353912354,1.3065487497185997,20.74081840522672,2.074271358972069,False,GARCH,2.0019045795495973,1.0635972120365269e-05,OK
2026-08-27T18:20:45.077181-04:00,AAPL,Apple,Stock,2026-08-27,314.5799865722656,0.3598476463767719,0.1294903286029023,2026-08-25 00:00:00,2,Random Forest,Next trading session,2.040462658870841,1.428447639527204,22.67590329039732,2.079554300903126,False,GARCH,2.0019045795495973,1.0635972120365269e-05,OK
2026-08-27T18:20:48.860116-04:00,JNJ,Johnson & Johnson,Stock,2026-08-27,265.7699890136719,-1.579072724405346,2.4934706689609216,2026-07-31 00:00:00,19,GARCH,Next trading session,1.5907003151013686,1.2612296837219494,20.02140053556556,1.2902120208735126,False,Random Forest,1.2820129794502266,3.201556251136717e-06,OK
2026-08-27T18:20:48.860116-04:00,JNJ,Johnson & Johnson,Stock,2026-08-27,265.7699890136719,-1.579072724405346,2.4934706689609216,2026-07-31 00:00:00,19,Historical Variance,Next trading session,2.1082537236326693,1.4519826870981174,23.049510588197588,1.3906303704670988,False,Random Forest,1.2820129794502266,3.201556251136717e-06,OK
2026-08-27T18:20:48.860116-04:00,JNJ,Johnson & Johnson,Stock,2026-08-27,265.7699890136719,-1.579072724405346,2.4934706689609216,2026-07-31 00:00:00,19,LSTM,Next trading session,1.3493473529815674,1.1616141153505184,18.44005241183861,1.3120556496338034,False,Random Forest,1.2820129794502266,3.201556251136717e-06,OK
2026-08-27T18:20:48.860116-04:00,JNJ,Johnson & Johnson,Stock,2026-08-27,265.7699890136719,-1.579072724405346,2.4934706689609216,2026-07-31 00:00:00,19,Random Forest,Next trading session,1.271314912302028,1.127526014024523,17.89892057918888,1.2820129794502266,True,Random Forest,1.2820129794502266,3.201556251136717e-06,OK
2026-08-27T18:20:53.866775-04:00,JPM,JPMorgan Chase,Stock,2026-08-27,354.2200012207031,-0.6416047379692194,0.4116566397845506,2026-07-31 00:00:00,19,GARCH,Next trading session,1.34471889163901,1.159620149721024,18.408399188767895,1.8624348384044025,False,Random Forest,1.8419772813034336,5.551115123125783e-17,OK
2026-08-27T18:20:53.866775-04:00,JPM,JPMorgan Chase,Stock,2026-08-27,354.2200012207031,-0.6416047379692194,0.4116566397845506,2026-07-31 00:00:00,19,Historical Variance,Next trading session,0.7983914717473796,0.8935275439220548,14.1843100248246,1.989531238214125,False,Random Forest,1.8419772813034336,5.551115123125783e-17,OK
