Ticker,Asset,Role,Latest_Data_Date,Latest_Adj_Close,Latest_Log_Return_Pct,New_Observations_Since_Deployment,Research_Best_Model,GARCH,Historical Variance,LSTM,Random Forest
AAPL,Apple,Stock,2026-09-01 00:00:00,325.1300048828125,2.5796622336462183,5,GARCH,1.6776283763062203,1.2104436880824163,1.3345640830228578,1.4699303435081954
JNJ,Johnson & Johnson,Stock,2026-09-01 00:00:00,271.19000244140625,1.9887428323792928,21,Random Forest,1.3369849446528712,1.2335456408937968,1.085362124155693,1.2391310271988345
JPM,JPMorgan Chase,Stock,2026-09-01 00:00:00,354.95001220703125,-0.3009909314306197,21,Random Forest,1.10315480254066,0.8197940719148805,1.261628044340179,1.2460578122851091
TSLA,Tesla,Stock,2026-09-01 00:00:00,356.0899963378906,-3.276359494263283,22,GARCH,3.41108513061888,2.641536736768685,3.2125795347112738,3.529776169308583
WMT,Walmart,Stock,2026-09-01 00:00:00,105.91999816894533,0.9962560864886436,22,GARCH,1.7497078589912196,2.4194288410167477,1.2056631587878062,1.0874643600801914
XOM,Exxon Mobil,Stock,2026-09-01 00:00:00,164.5500030517578,2.212075515151976,21,Random Forest,1.7105612341703058,1.7026284575123485,1.5639489131691386,1.757651597690063
^GSPC,S&P 500,Benchmark,2026-09-01 00:00:00,7631.47021484375,-0.7138209258204404,21,LSTM,0.7006094601289563,0.6887116721869017,0.8262445223997514,0.7136715569249441
