Ticker,Start_Date,End_Date,Observations,Missing_Values,Duplicate_Dates,Mean_Return,Return_Std_Dev,Min_Return,Max_Return,Mean_Squared_Return
AAPL,2010-06-30,2026-07-31,4046,0,0,0.09134753575598717,1.7669066210885964,-13.770823330355874,14.261735272251114,3.129531763769409
JPM,2010-06-30,2026-07-31,4046,0,0,0.06597755615548671,1.718239582918211,-16.21061239898221,16.562039910855642,2.955970606903301
XOM,2010-06-30,2026-07-31,4046,0,0,0.03954715712099012,1.5863326450825828,-13.039064460953856,11.944233743523409,2.517393278218971
JNJ,2010-06-30,2026-07-31,4046,0,0,0.04768745123587362,1.0808916182478956,-10.57811664925344,7.694002114966296,1.1703120224819321
WMT,2010-06-30,2026-07-31,4046,0,0,0.05549764423017493,1.2593660292926625,-12.076456348798907,11.072262099928928,1.5886907914695245
TSLA,2010-06-30,2026-07-31,4046,0,0,0.13037711168495522,3.603713487094987,-23.65178944576766,21.82924101301382,13.000539313013402
^GSPC,2010-06-30,2026-07-31,4046,0,0,0.04876715623098158,1.080442084937734,-12.765219747281742,9.089487983303645,1.1694448136457642
