Ticker,Role,Model,Split,Observations,RMSE,MAE,QLIKE,Mean_Actual_Variance,Mean_Forecast_Variance
AAPL,Stock,Historical Variance (21-day),Validation,501,6.436570761392106,3.4568203123201062,2.1346588712075407,3.345905898094891,3.4217043232823654
AAPL,Stock,Historical Variance (21-day),Test,647,10.628534485148247,3.7518677928346986,2.1626450534552206,3.0864906890038033,2.984931451190201
JNJ,Stock,Historical Variance (21-day),Validation,501,2.711320888768839,1.3030479775200772,1.3187816391761726,1.1358175979940768,1.1542851241294598
JNJ,Stock,Historical Variance (21-day),Test,647,3.600787957024711,1.4922881122227314,1.3906303704670988,1.3356466884586162,1.2886414680853089
JPM,Stock,Historical Variance (21-day),Validation,501,5.287875627094842,2.8996069352340306,1.915890979939705,2.6161218173161758,2.6226349918604996
JPM,Stock,Historical Variance (21-day),Test,647,7.217674109839922,2.828832599059572,1.989531238214125,2.3197933270169266,2.305398099698278
TSLA,Stock,Historical Variance (21-day),Validation,501,24.9054966965065,15.840027204910937,3.7107457047771515,14.790093975022044,14.712823674492244
TSLA,Stock,Historical Variance (21-day),Test,647,35.16636370735065,15.566080737100672,3.736281650096755,14.142456932173252,13.936532815696298
WMT,Stock,Historical Variance (21-day),Validation,501,8.60418334612692,2.4659217825338198,1.9312066944753303,1.9479750862700103,1.9622847943246557
WMT,Stock,Historical Variance (21-day),Test,647,5.937507834176099,2.4092829765334742,1.9687584969076513,2.073139407310447,2.0430296536564123
XOM,Stock,Historical Variance (21-day),Validation,501,6.59243213180098,3.923745729763019,2.3549904854034667,3.715843357961724,3.732768667428108
XOM,Stock,Historical Variance (21-day),Test,647,4.227593604796811,2.3295323858163486,1.7611479756371726,2.183496633946581,2.173870457285679
^GSPC,Benchmark,Historical Variance (21-day),Validation,501,2.6392111843453367,1.5494422060638884,1.2639879499229798,1.5038513388755899,1.5256996210877927
^GSPC,Benchmark,Historical Variance (21-day),Test,647,3.9461880118142014,1.1549900169471041,0.868669142617824,0.952158061151261,0.955773672028047
