Model,Split,Mean_RMSE,Mean_MAE,Mean_QLIKE,Number_of_Stocks
Historical Variance (21-day),Test,11.129743616389405,4.729647433927916,2.1681657974630038,6
Historical Variance (21-day),Validation,9.089646575281698,4.981528323713665,2.227712395829894,6
