Ticker,Asset,Role,Loss_Function,Model_1,Model_2,Observations,Mean_Loss_Model_1,Mean_Loss_Model_2,Mean_Loss_Difference,DM_Statistic,Raw_p_value,Lower_Mean_Loss_Model,Holm_Adjusted_p,Significant_Raw_5pct,Significant_Holm_5pct,Preferred_Model_if_Holm_Significant
JNJ,Johnson & Johnson,Stock,Squared_Error,Random Forest,LSTM,647,12.56075313552135,12.532194862175906,0.02855827334544432,0.07738639276740207,0.9383401271644362,LSTM,1.0,False,False,No significant difference
JNJ,Johnson & Johnson,Stock,Absolute_Error,Historical Variance,GARCH,647,1.4922881122227314,1.4068993103344378,0.08538880188829352,3.4497218312471705,0.000597682041299895,GARCH,0.002988410206499475,True,True,GARCH
JNJ,Johnson & Johnson,Stock,Absolute_Error,Historical Variance,Random Forest,647,1.4922881122227314,1.4102955676625744,0.08199254456015702,2.4498002252737554,0.014557913906805066,Random Forest,0.043673741720415195,True,True,Random Forest
JNJ,Johnson & Johnson,Stock,Absolute_Error,Historical Variance,LSTM,647,1.4922881122227314,1.3487348332571087,0.14355327896562262,4.349547398812743,1.5850032777380923e-05,LSTM,9.510019666428553e-05,True,True,LSTM
JNJ,Johnson & Johnson,Stock,Absolute_Error,GARCH,Random Forest,647,1.4068993103344378,1.4102955676625744,-0.0033962573281365186,-0.1765266075274417,0.8599355734235914,GARCH,0.8599355734235914,False,False,No significant difference
JNJ,Johnson & Johnson,Stock,Absolute_Error,GARCH,LSTM,647,1.4068993103344378,1.3487348332571087,0.0581644770773291,2.5638230021023602,0.010577721615721456,LSTM,0.042310886462885826,True,True,LSTM
JNJ,Johnson & Johnson,Stock,Absolute_Error,Random Forest,LSTM,647,1.4102955676625744,1.3487348332571087,0.061560734405465625,2.1292019055790754,0.03361511502051696,LSTM,0.06723023004103391,True,False,No significant difference
JPM,JPMorgan Chase,Stock,QLIKE,Historical Variance,GARCH,647,1.989531238214125,1.8624348384044023,0.12709639980972293,3.0909148701190796,0.002081241221950293,GARCH,0.012487447331701759,True,True,GARCH
JPM,JPMorgan Chase,Stock,QLIKE,Historical Variance,Random Forest,647,1.989531238214125,1.8419772813034336,0.14755395691069179,2.7581746038485004,0.00597696094020374,Random Forest,0.02390784376081496,True,True,Random Forest
JPM,JPMorgan Chase,Stock,QLIKE,Historical Variance,LSTM,647,1.989531238214125,1.8457373249978872,0.14379391321623786,3.0773379289867058,0.0021769644456346732,LSTM,0.012487447331701759,True,True,LSTM
