Model,Mean_RMSE,Mean_MAE,Mean_QLIKE,Number_of_Stocks,RMSE_Rank,MAE_Rank,QLIKE_Rank
GARCH,10.87612593452714,4.529841836960043,2.040063724120064,6,1,2,1
Random Forest,11.694903446129674,4.849509837924865,2.0766359882154823,6,4,4,2
LSTM,10.998821629253344,4.279945145430383,2.0930840495990735,6,2,1,3
Historical Variance,11.129743616389405,4.729647433927916,2.1681657974630038,6,3,3,4
