Date,Target_Date,Ticker,Asset,Role,Split,Log_Return,Squared_Return,Target_Squared_Return
2010-06-30,2010-07-01,XOM,Exxon Mobil,Stock,Train,-0.3847331591596264,0.1480196037569464,0.6550537941353
2010-07-01,2010-07-02,XOM,Exxon Mobil,Stock,Train,-0.8093539362573706,0.6550537941353,0.0049961625027303
2010-07-02,2010-07-06,XOM,Exxon Mobil,Stock,Train,-0.0706835377066709,0.0049961625027303,2.4368927936647444
2010-07-06,2010-07-07,XOM,Exxon Mobil,Stock,Train,1.5610550258286042,2.4368927936647444,2.8023083188730387
2010-07-07,2010-07-08,XOM,Exxon Mobil,Stock,Train,1.6740096531600523,2.8023083188730387,0.4202294104364835
2010-07-08,2010-07-09,XOM,Exxon Mobil,Stock,Train,0.6482510396725049,0.4202294104364835,0.0026027445415689
2010-07-09,2010-07-12,XOM,Exxon Mobil,Stock,Train,-0.0510171004817886,0.0026027445415689,0.0739238465354043
2010-07-12,2010-07-13,XOM,Exxon Mobil,Stock,Train,0.2718894012928866,0.0739238465354043,0.6577826753424046
2010-07-13,2010-07-14,XOM,Exxon Mobil,Stock,Train,0.8110380233641359,0.6577826753424046,0.0726884538749287
2010-07-14,2010-07-15,XOM,Exxon Mobil,Stock,Train,-0.2696079633002867,0.0726884538749287,0.0002847571019173
2010-07-15,2010-07-16,XOM,Exxon Mobil,Stock,Train,0.0168747474623289,0.0002847571019173,4.9955055394207015
2010-07-16,2010-07-19,XOM,Exxon Mobil,Stock,Train,-2.2350627596156447,4.9955055394207015,0.6522736658637873
2010-07-19,2010-07-20,XOM,Exxon Mobil,Stock,Train,0.8076346116058841,0.6522736658637873,0.7850502646564634
2010-07-20,2010-07-21,XOM,Exxon Mobil,Stock,Train,0.8860306228660855,0.7850502646564634,1.774068214109119
2010-07-21,2010-07-22,XOM,Exxon Mobil,Stock,Train,-1.3319415205290055,1.774068214109119,4.238500323738204
2010-07-22,2010-07-23,XOM,Exxon Mobil,Stock,Train,2.0587618424038765,4.238500323738204,0.3259442902763744
2010-07-23,2010-07-26,XOM,Exxon Mobil,Stock,Train,0.5709153091977605,0.3259442902763744,1.2447622060052157
2010-07-26,2010-07-27,XOM,Exxon Mobil,Stock,Train,1.115689117095446,1.2447622060052157,0.4803161744828428
2010-07-27,2010-07-28,XOM,Exxon Mobil,Stock,Train,0.6930484647431541,0.4803161744828428,0.0269989654675019
2010-07-28,2010-07-29,XOM,Exxon Mobil,Stock,Train,0.1643136192392523,0.0269989654675019,0.8838860844624569
2010-07-29,2010-07-30,XOM,Exxon Mobil,Stock,Train,-0.9401521602711216,0.8838860844624569,1.2097167010813388
2010-07-30,2010-08-02,XOM,Exxon Mobil,Stock,Train,-1.0998712202259584,1.2097167010813388,13.81538977704909
2010-08-02,2010-08-03,XOM,Exxon Mobil,Stock,Train,3.716905941377733,13.81538977704909,1.5661411233751434
2010-08-03,2010-08-04,XOM,Exxon Mobil,Stock,Train,1.2514556018393714,1.5661411233751434,0.0
2010-08-04,2010-08-05,XOM,Exxon Mobil,Stock,Train,0.0,0.0,0.0002546436443898
2010-08-05,2010-08-06,XOM,Exxon Mobil,Stock,Train,-0.0159575575947515,0.0002546436443898,1.4092195694799414
2010-08-06,2010-08-09,XOM,Exxon Mobil,Stock,Train,-1.1871055426877348,1.4092195694799414,0.5954050971386001
2010-08-09,2010-08-10,XOM,Exxon Mobil,Stock,Train,0.771624971821545,0.5954050971386001,0.6991338909529934
2010-08-10,2010-08-11,XOM,Exxon Mobil,Stock,Train,-0.8361422671728738,0.6991338909529934,3.258551179132358
2010-08-11,2010-08-12,XOM,Exxon Mobil,Stock,Train,-1.8051457501078296,3.258551179132358,0.0703728748662641
2010-08-12,2010-08-13,XOM,Exxon Mobil,Stock,Train,-0.2652788624565933,0.0703728748662641,0.2837830527484226
